,modAlgo,conf,dim,budget,train_r2,test_r2,train_mse,test_mse
10245,modDE,529,30,15000,0.0,-0.000180002998938944,6.562503416407156,6.562968367252753
10246,modDE,529,30,30000,0.0,-8.520470637534139e-05,6.983893022929081,6.9841273987752075
10247,modDE,529,30,45000,0.0,-0.0001703503434979492,7.246706374977146,7.247194126950681
10248,modDE,530,5,250,0.0,-0.0013283244191653054,2.0615043538916114,2.062664932463895
10249,modDE,530,5,500,0.0,-0.0016010698201547769,1.9087346891193135,1.9100000652514268
10250,modDE,530,5,1500,0.0,-4.126748050814477e-05,4.987834654635833,4.9879169679369735
10251,modDE,530,5,2500,0.0,-9.973048204656721e-05,4.612342900715494,4.612529736116603
10252,modDE,530,5,5000,0.0,-0.00011526068915768128,4.3101956924418205,4.310393261172225
10253,modDE,530,5,7500,0.0,-9.529363588525185e-05,4.638794622035555,4.638971633075983
10254,modDE,530,30,1500,0.0,-4.886788690630084e-05,3.2453792074688463,3.245443420535576
10255,modDE,530,30,3000,0.0,-0.00020521674107412124,2.713246233199656,2.713470943168981
10256,modDE,530,30,9000,0.0,-1.2483296613341465e-05,2.161384562879694,2.1613953608224468
10257,modDE,530,30,15000,0.0,-6.470094826425133e-05,2.4511105355798692,2.4511740342353123
10258,modDE,530,30,30000,0.0,-9.304809153354299e-05,6.843367146959034,6.843622687651084
10259,modDE,530,30,45000,0.0,-0.00011963362183324833,10.01263946349364,10.01311737872184
10260,modDE,531,5,250,0.0,-8.22682428712973e-05,4.894689583925023,4.894849807757263
10261,modDE,531,5,500,0.0,-0.0004329767895357328,4.512230038718397,4.513019274120284
10262,modDE,531,5,1500,0.0,-0.001725048534541429,7.72948712389402,7.734932860191482
10263,modDE,531,5,2500,0.0,-0.004561130190841612,9.014910448877608,9.033525702531026
10264,modDE,531,5,5000,0.0,-0.002266238690181099,11.862105881131251,11.872832424248372
10265,modDE,531,5,7500,0.0,-0.0016996541898230521,12.296208316827208,12.304691969476476
10266,modDE,531,30,1500,0.0,-0.00038141923291794554,2.2594258574003265,2.2597713644271975
10267,modDE,531,30,3000,0.0,-0.00046479823279197416,2.825558060939607,2.8260767511181086
10268,modDE,531,30,9000,0.0,-4.937824052486661e-05,7.770604441656074,7.770758215209833
10269,modDE,531,30,15000,0.0,-6.103801179482282e-05,9.926299391023427,9.926539073333617
10270,modDE,531,30,30000,0.0,-0.00012807026792645005,10.093882293683409,10.094397169363726
