"","DIM","funcId","ID","runtime","run","f(x)","instance"
"512",5,10,"conf_125",500,36,224.529717606,1
"513",5,10,"conf_125",1500,36,1.8415945871,1
"514",5,10,"conf_125",2500,36,1.8e-09,1
"515",5,10,"conf_125",5000,36,5e-10,1
"516",5,10,"conf_125",7500,36,5e-10,1
"517",5,10,"conf_125",250,37,16151.941277475,1
"518",5,10,"conf_125",500,37,7328.3028008164,1
"519",5,10,"conf_125",1500,37,6.7930232814,1
"520",5,10,"conf_125",2500,37,1.2e-09,1
"521",5,10,"conf_125",5000,37,7e-10,1
"522",5,10,"conf_125",7500,37,7e-10,1
"523",5,10,"conf_125",250,38,298.287600782,1
"524",5,10,"conf_125",500,38,120.2523165284,1
"525",5,10,"conf_125",1500,38,0.0007922401,1
"526",5,10,"conf_125",2500,38,4e-10,1
"527",5,10,"conf_125",5000,38,4e-10,1
"528",5,10,"conf_125",7500,38,4e-10,1
"529",5,10,"conf_125",250,39,111.7245328333,1
"530",5,10,"conf_125",500,39,30.876373566,1
"531",5,10,"conf_125",1500,39,0.000102718,1
"532",5,10,"conf_125",2500,39,9e-10,1
"533",5,10,"conf_125",5000,39,9e-10,1
"534",5,10,"conf_125",7500,39,9e-10,1
"535",5,10,"conf_125",250,40,48044.2092189126,1
"536",5,10,"conf_125",500,40,339.6067996597,1
"537",5,10,"conf_125",1500,40,4.8596593296,1
"538",5,10,"conf_125",2500,40,7.7e-09,1
"539",5,10,"conf_125",5000,40,7e-10,1
"540",5,10,"conf_125",7500,40,7e-10,1
"541",5,10,"conf_125",250,41,1642.0539528004,3
