"","DIM","funcId","ID","runtime","run","f(x)","instance","dim"
"338",5,1,"conf_532",500,57,2.3088619261,2,5
"339",5,1,"conf_532",1500,57,0.2159584327,2,5
"340",5,1,"conf_532",2500,57,0.0966435513,2,5
"341",5,1,"conf_532",5000,57,0.000423879,2,5
"342",5,1,"conf_532",7500,57,2.76277e-05,2,5
"343",5,1,"conf_532",250,58,7.5105135119,2,5
"344",5,1,"conf_532",500,58,1.9853735593,2,5
"345",5,1,"conf_532",1500,58,0.1494423023,2,5
"346",5,1,"conf_532",2500,58,0.1147571156,2,5
"347",5,1,"conf_532",5000,58,0.0014561011,2,5
"348",5,1,"conf_532",7500,58,2.07409e-05,2,5
"349",5,1,"conf_532",250,59,9.4939654106,2,5
"350",5,1,"conf_532",500,59,2.6694286864,2,5
"351",5,1,"conf_532",1500,59,0.510211106,2,5
"352",5,1,"conf_532",2500,59,0.1306248065,2,5
"353",5,1,"conf_532",5000,59,0.0013331577,2,5
"354",5,1,"conf_532",7500,59,5.17837e-05,2,5
"355",5,1,"conf_532",250,60,2.2478450635,2,5
"356",5,1,"conf_532",500,60,2.2478450635,2,5
"357",5,1,"conf_532",1500,60,0.4915999828,2,5
"358",5,1,"conf_532",2500,60,0.0530656949,2,5
"359",5,1,"conf_532",5000,60,0.0020946586,2,5
"360",5,1,"conf_532",7500,60,3.04537e-05,2,5
"361",5,1,"conf_532",250,61,2.4752640531,2,5
"362",5,1,"conf_532",500,61,2.4752640531,2,5
"363",5,1,"conf_532",1500,61,0.2779778875,2,5
"364",5,1,"conf_532",2500,61,0.0322771696,2,5
"365",5,1,"conf_532",5000,61,0.002087067,2,5
"366",5,1,"conf_532",7500,61,2.56069e-05,2,5
"367",5,1,"conf_532",250,62,12.6613926747,2,5
"368",5,1,"conf_532",500,62,3.6183936497,2,5
"369",5,1,"conf_532",1500,62,0.3255921778,2,5
"370",5,1,"conf_532",2500,62,0.075159289,2,5
"371",5,1,"conf_532",5000,62,0.0023095829,2,5
"372",5,1,"conf_532",7500,62,7.84436e-05,2,5
"373",5,1,"conf_532",250,63,5.2370582701,2,5
"374",5,1,"conf_532",500,63,3.4416357445,2,5
"375",5,1,"conf_532",1500,63,0.3045745737,2,5
"376",5,1,"conf_532",2500,63,0.0726356262,2,5
"377",5,1,"conf_532",5000,63,0.000151345,2,5
"378",5,1,"conf_532",7500,63,1.6492e-05,2,5
"379",5,1,"conf_532",250,64,7.8427107749,2,5
"380",5,1,"conf_532",500,64,5.9265066189,2,5
"381",5,1,"conf_532",1500,64,0.2904862041,2,5
"382",5,1,"conf_532",2500,64,0.1516647691,2,5
"383",5,1,"conf_532",5000,64,0.0013842834,2,5
"384",5,1,"conf_532",7500,64,4.33313e-05,2,5
"385",5,1,"conf_532",250,65,6.8789280664,2,5
"386",5,1,"conf_532",500,65,4.6646121898,2,5
"387",5,1,"conf_532",1500,65,0.5671955112,2,5
"388",5,1,"conf_532",2500,65,0.0880317734,2,5
"389",5,1,"conf_532",5000,65,0.0006648355,2,5
"390",5,1,"conf_532",7500,65,3.70736e-05,2,5
"391",5,1,"conf_532",250,66,6.0054589649,2,5
"392",5,1,"conf_532",500,66,3.9025353208,2,5
"393",5,1,"conf_532",1500,66,0.3562644352,2,5
"394",5,1,"conf_532",2500,66,0.1014887978,2,5
"395",5,1,"conf_532",5000,66,0.0034831616,2,5
"396",5,1,"conf_532",7500,66,3.79139e-05,2,5
"397",5,1,"conf_532",250,67,6.8502809412,2,5
"398",5,1,"conf_532",500,67,2.2732842819,2,5
"399",5,1,"conf_532",1500,67,0.3989752261,2,5
"400",5,1,"conf_532",2500,67,0.0729130874,2,5
"401",5,1,"conf_532",5000,67,0.0016185284,2,5
"402",5,1,"conf_532",7500,67,2.71811e-05,2,5
"403",5,1,"conf_532",250,68,7.1236977728,2,5
"404",5,1,"conf_532",500,68,3.6245444419,2,5
"405",5,1,"conf_532",1500,68,0.4084288597,2,5
"406",5,1,"conf_532",2500,68,0.0552133565,2,5
"407",5,1,"conf_532",5000,68,0.0026692691,2,5
"408",5,1,"conf_532",7500,68,3.21737e-05,2,5
"409",5,1,"conf_532",250,69,6.9008653454,2,5
"410",5,1,"conf_532",500,69,1.984348009,2,5
"411",5,1,"conf_532",1500,69,0.5604988589,2,5
"412",5,1,"conf_532",2500,69,0.02284025,2,5
"413",5,1,"conf_532",5000,69,0.0011024078,2,5
"414",5,1,"conf_532",7500,69,3.746e-05,2,5
"415",5,1,"conf_532",250,70,3.2369843328,2,5
"416",5,1,"conf_532",500,70,2.1717168973,2,5
"417",5,1,"conf_532",1500,70,0.5785427635,2,5
"418",5,1,"conf_532",2500,70,0.0839399863,2,5
"419",5,1,"conf_532",5000,70,0.0026498449,2,5
"420",5,1,"conf_532",7500,70,1.53524e-05,2,5
"421",5,1,"conf_532",250,71,3.1664405065,2,5
"422",5,1,"conf_532",500,71,2.9981450169,2,5
"423",5,1,"conf_532",1500,71,0.4005432476,2,5
"424",5,1,"conf_532",2500,71,0.0476819127,2,5
"425",5,1,"conf_532",5000,71,0.0003534647,2,5
"426",5,1,"conf_532",7500,71,2.09399e-05,2,5
"427",5,1,"conf_532",250,72,3.8206023926,2,5
"428",5,1,"conf_532",500,72,1.2264254762,2,5
"429",5,1,"conf_532",1500,72,0.084266131,2,5
"430",5,1,"conf_532",2500,72,0.0354241739,2,5
"431",5,1,"conf_532",5000,72,0.0007832956,2,5
"432",5,1,"conf_532",7500,72,6.6723e-06,2,5
"433",5,1,"conf_532",250,73,9.0175606763,2,5
"434",5,1,"conf_532",500,73,3.6666596186,2,5
"435",5,1,"conf_532",1500,73,0.2502504801,2,5
"436",5,1,"conf_532",2500,73,0.0262712434,2,5
"437",5,1,"conf_532",5000,73,0.0005429278,2,5
"438",5,1,"conf_532",7500,73,1.05863e-05,2,5
"439",5,1,"conf_532",250,74,4.8403799841,2,5
"440",5,1,"conf_532",500,74,2.9719910869,2,5
"441",5,1,"conf_532",1500,74,0.4266493147,2,5
"442",5,1,"conf_532",2500,74,0.0632226087,2,5
"443",5,1,"conf_532",5000,74,0.003279498,2,5
"444",5,1,"conf_532",7500,74,1.14212e-05,2,5
"445",5,1,"conf_532",250,75,3.264666503,2,5
"446",5,1,"conf_532",500,75,1.294898507,2,5
"447",5,1,"conf_532",1500,75,0.6129305251,2,5
"448",5,1,"conf_532",2500,75,0.0568310349,2,5
"449",5,1,"conf_532",5000,75,0.0010942357,2,5
"450",5,1,"conf_532",7500,75,1.1896e-05,2,5
"451",5,1,"conf_532",250,76,3.0916586496,2,5
"452",5,1,"conf_532",500,76,1.7332811627,2,5
"453",5,1,"conf_532",1500,76,0.0513760344,2,5
"454",5,1,"conf_532",2500,76,0.0513760344,2,5
"455",5,1,"conf_532",5000,76,0.001573919,2,5
"456",5,1,"conf_532",7500,76,2.66397e-05,2,5
"457",5,1,"conf_532",250,77,6.3924008703,2,5
"458",5,1,"conf_532",500,77,3.0468869714,2,5
"459",5,1,"conf_532",1500,77,0.6236238402,2,5
"460",5,1,"conf_532",2500,77,0.0283782211,2,5
"461",5,1,"conf_532",5000,77,0.0026961804,2,5
"462",5,1,"conf_532",7500,77,3.73208e-05,2,5
"463",5,1,"conf_532",250,78,6.3136725267,2,5
"464",5,1,"conf_532",500,78,3.9376659837,2,5
"465",5,1,"conf_532",1500,78,0.3370608361,2,5
"466",5,1,"conf_532",2500,78,0.0959247471,2,5
"467",5,1,"conf_532",5000,78,0.0028838118,2,5
"468",5,1,"conf_532",7500,78,1.11256e-05,2,5
"469",5,1,"conf_532",250,79,1.5452271753,2,5
"470",5,1,"conf_532",500,79,1.5452271753,2,5
"471",5,1,"conf_532",1500,79,0.2999042843,2,5
"472",5,1,"conf_532",2500,79,0.0041413591,2,5
"473",5,1,"conf_532",5000,79,0.0024563736,2,5
"474",5,1,"conf_532",7500,79,2.59682e-05,2,5
"475",5,1,"conf_532",250,80,5.9957312339,2,5
